,UniqueID,Date,Species,Breed,Age,Gender,Altered,Borough,Zipcode
1,1,January 02 2015,DOG,Poodle,3,M,TRUE,Brooklyn,11238
2,2,January 02 2015,DOG,Husky,NA,U,FALSE,Brooklyn,11249
3,3,January 02 2015,DOG,NA,NA,U,FALSE,Brooklyn,NA
4,4,January 01 2015,DOG,American Pitbull Terrier,6,M,FALSE,Brooklyn,11221
5,5,January 03 2015,DOG,American Pitbull Terrier,1,M,FALSE,Brooklyn,11207
6,6,January 05 2015,DOG,American Pitbull Terrier,1,F,FALSE,Brooklyn,11209
7,7,January 04 2015,DOG,Morkie,1,M,FALSE,Brooklyn,11220
8,8,January 05 2015,DOG,Chihuahua,1,M,FALSE,Brooklyn,11237
9,9,January 04 2015,DOG,American Pitbull Terrier Mix,NA,M,FALSE,Brooklyn,11215
10,10,January 04 2015,DOG,NA,NA,U,FALSE,Brooklyn,11221
11,11,January 02 2015,DOG,NA,NA,U,FALSE,Brooklyn,NA
12,12,January 02 2015,DOG,Cocker Spaniel Mix,NA,U,FALSE,Brooklyn,11220
13,13,January 05 2015,DOG,Shih Tzu,4,F,FALSE,Brooklyn,11205
14,14,January 01 2015,DOG,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11220
15,15,January 07 2015,DOG,American Pitbull Terrier,NA,U,FALSE,Brooklyn,NA
16,16,January 05 2015,DOG,Shih Tzu,3,M,TRUE,Brooklyn,11224
17,17,January 09 2015,DOG,American Pitbull Terrier,2,M,TRUE,Brooklyn,11213
18,18,January 10 2015,DOG,Na,7,M,TRUE,Brooklyn,NA
19,19,January 10 2015,DOG,Yorkshire Terrier,1,F,FALSE,Brooklyn,11237
20,20,January 13 2015,DOG,Dachshund,12,M,TRUE,Brooklyn,11217
21,21,January 12 2015,DOG,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11208
22,22,January 16 2015,DOG,American Pitbull Terrier Mix,2,M,FALSE,Brooklyn,11235
23,23,January 12 2015,DOG,Shih Tzu,2,M,FALSE,Brooklyn,11207
24,24,January 17 2015,DOG,Chihuahua,0.583,M,FALSE,Brooklyn,11213
25,25,January 21 2015,DOG,Yorkshire Terrier,0.667,M,FALSE,Brooklyn,11206
26,26,January 22 2015,DOG,Labrador Retriever,5,M,TRUE,Brooklyn,11229
27,27,January 24 2015,DOG,Korean Jindo,NA,U,FALSE,Brooklyn,11226
28,28,January 27 2015,DOG,Jack Russell Terrier,11,M,FALSE,Brooklyn,11217
29,29,January 25 2015,DOG,Chow Chow,NA,U,FALSE,Brooklyn,11209
30,30,January 25 2015,DOG,Chihuahua,1,F,FALSE,Brooklyn,11213
31,31,January 25 2015,DOG,Bull Mastiff,NA,U,FALSE,Brooklyn,NA
32,32,January 20 2015,DOG,American Pitbull Terrier Mix,NA,U,FALSE,Brooklyn,11236
33,33,January 29 2015,DOG,American Pitbull Terrier,NA,U,FALSE,Brooklyn,NA
34,34,January 31 2015,DOG,Chihuahua Mix,3,M,FALSE,Brooklyn,NA
35,35,January 31 2015,DOG,German Shepherd Mix,NA,F,FALSE,Brooklyn,11220
36,36,January 31 2015,DOG,NA,NA,U,FALSE,Brooklyn,NA
37,37,January 23 2015,DOG,German Shepherd,4,M,FALSE,Brooklyn,11229
38,38,January 31 2015,DOG,NA,NA,U,FALSE,Brooklyn,NA
39,39,February 04 2015,DOG,Pomeranian,1,F,FALSE,Brooklyn,11216
40,40,February 05 2015,DOG,Dalmatian,10,M,TRUE,Brooklyn,11214
41,41,February 01 2015,DOG,Rottweiler,NA,U,FALSE,Brooklyn,11204
42,42,February 04 2015,DOG,Rottweiler,NA,U,FALSE,Brooklyn,11220
43,43,February 06 2015,DOG,Shiba Inu,3,M,FALSE,Brooklyn,11252
44,44,February 07 2015,DOG,Maltese,NA,U,FALSE,Brooklyn,11215
45,45,February 07 2015,DOG,American Pitbull Terrier,5,M,TRUE,Brooklyn,11214
46,46,January 27 2015,DOG,NA,NA,U,FALSE,Brooklyn,11205
47,47,February 06 2015,DOG,Dachshund,NA,U,FALSE,Brooklyn,NA
48,48,January 27 2015,DOG,Poodle,NA,U,FALSE,Brooklyn,11214
49,49,February 10 2015,DOG,Welsh Corgi, Pembroke,NA,U,FALSE,Brooklyn,11204
50,50,February 07 2015,DOG,Shiba Inu,NA,M,FALSE,Brooklyn,11206
51,51,February 07 2015,DOG,Rat Terrier,5,M,TRUE,Brooklyn,11208
52,52,January 27 2015,DOG,American Pitbull Terrier,2,M,FALSE,Brooklyn,11228
53,53,February 11 2015,DOG,Staffordshire Bull Terrier,4,M,FALSE,Brooklyn,11235
54,54,February 11 2015,DOG,Rat Terrier,13,F,TRUE,Brooklyn,11209
55,55,February 09 2015,DOG,American Pitbull Terrier,10,F,TRUE,Brooklyn,11232
56,56,February 12 2015,DOG,German Shepherd,4,M,FALSE,Brooklyn,11229
57,57,February 12 2015,DOG,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11237
58,58,February 14 2015,DOG,Akita,NA,M,FALSE,Brooklyn,11237
59,59,February 14 2015,DOG,NA,NA,U,FALSE,Brooklyn,11205
60,60,February 15 2015,DOG,Bulldog Mix,NA,M,FALSE,Brooklyn,11234
61,61,February 15 2015,DOG,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11234
62,62,February 13 2015,DOG,American Pitbull Terrier,4,M,TRUE,Brooklyn,11221
63,63,February 17 2015,DOG,Chihuahua,NA,U,FALSE,Brooklyn,11218
64,64,February 15 2015,DOG,American Pitbull Terrier Mix,1,M,FALSE,Brooklyn,11207
65,65,February 12 2015,DOG,Old English Mastiff,NA,U,FALSE,Brooklyn,11231
66,66,February 18 2015,DOG,Yorkshire Terrier,3,M,FALSE,Brooklyn,11233
67,67,February 17 2015,DOG,American Pitbull Terrier,5,M,FALSE,Brooklyn,11207
68,68,February 19 2015,DOG,Springer Spaniel,7,U,TRUE,Brooklyn,11213
69,69,February 21 2015,DOG,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11217
70,70,February 06 2015,DOG,Shiba Inu,3,M,FALSE,Brooklyn,NA
71,71,February 12 2015,DOG,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11224
72,72,February 22 2015,DOG,American Pitbull Terrier,10,M,TRUE,Brooklyn,11235
73,73,February 24 2015,DOG,American Pitbull Terrier,1,F,FALSE,Brooklyn,11215
74,74,February 24 2015,DOG,American Pitbull Terrier,10,F,TRUE,Brooklyn,11210
75,75,February 24 2015,DOG,Westie,NA,U,FALSE,Brooklyn,11234
76,76,February 22 2015,DOG,American Pitbull Terrier,NA,U,FALSE,Brooklyn,NA
77,77,February 21 2015,DOG,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11231
78,78,February 26 2015,DOG,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11206
79,79,February 22 2015,DOG,Foxhound,3,F,TRUE,Brooklyn,11209
