,Date,Breed,Age,Sex,Altered,Borough,Zipcode
1,January 02 2015,Poodle,3,M,TRUE,Brooklyn,11238
2,January 02 2015,Husky,NA,U,FALSE,Brooklyn,11249
3,January 02 2015,NA,NA,U,FALSE,Brooklyn,NA
4,January 01 2015,American Pitbull Terrier,6,M,FALSE,Brooklyn,11221
5,January 03 2015,American Pitbull Terrier,1,M,FALSE,Brooklyn,11207
6,January 05 2015,American Pitbull Terrier,1,F,FALSE,Brooklyn,11209
7,January 04 2015,Morkie,1,M,FALSE,Brooklyn,11220
8,January 05 2015,Chihuahua,1,M,FALSE,Brooklyn,11237
9,January 04 2015,American Pitbull Terrier Mix,NA,M,FALSE,Brooklyn,11215
10,January 04 2015,NA,NA,U,FALSE,Brooklyn,11221
11,January 02 2015,Cocker Spaniel Mix,NA,U,FALSE,Brooklyn,11220
12,January 05 2015,Shih Tzu,4,F,FALSE,Brooklyn,11205
13,January 01 2015,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11220
14,January 07 2015,American Pitbull Terrier,NA,U,FALSE,Brooklyn,NA
15,January 05 2015,Shih Tzu,3,M,TRUE,Brooklyn,11224
16,January 09 2015,American Pitbull Terrier,2,M,TRUE,Brooklyn,11213
17,January 10 2015,NA,7,M,TRUE,Brooklyn,NA
18,January 10 2015,Yorkshire Terrier,1,F,FALSE,Brooklyn,11237
19,January 13 2015,Dachshund,12,M,TRUE,Brooklyn,11217
20,January 12 2015,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11208
21,January 16 2015,American Pitbull Terrier Mix,2,M,FALSE,Brooklyn,11235
22,January 12 2015,Shih Tzu,2,M,FALSE,Brooklyn,11207
23,January 17 2015,Chihuahua,0.583,M,FALSE,Brooklyn,11213
24,January 21 2015,Yorkshire Terrier,0.667,M,FALSE,Brooklyn,11206
25,January 22 2015,Labrador Retriever,5,M,TRUE,Brooklyn,11229
26,January 24 2015,Korean Jindo,NA,U,FALSE,Brooklyn,11226
27,January 27 2015,Jack Russell Terrier,11,M,FALSE,Brooklyn,11217
28,January 25 2015,Chow Chow,NA,U,FALSE,Brooklyn,11209
29,January 25 2015,Chihuahua,1,F,FALSE,Brooklyn,11213
30,January 25 2015,Bull Mastiff,NA,U,FALSE,Brooklyn,NA
31,January 20 2015,American Pitbull Terrier Mix,NA,U,FALSE,Brooklyn,11236
32,January 29 2015,American Pitbull Terrier,NA,U,FALSE,Brooklyn,NA
33,January 31 2015,Chihuahua Mix,3,M,FALSE,Brooklyn,NA
34,January 31 2015,German Shepherd Mix,NA,F,FALSE,Brooklyn,11220
35,January 31 2015,NA,NA,U,FALSE,Brooklyn,NA
36,January 23 2015,German Shepherd,4,M,FALSE,Brooklyn,11229
37,February 04 2015,Pomeranian,1,F,FALSE,Brooklyn,11216
