,Month,Day,Year,Breed,Age,Sex,Altered,Borough,Zipcode
1,January,02,2016,Yorkshire Terrier,10,M,TRUE,Brooklyn,11235
2,January,01,2016,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11237
3,January,01,2016,American Pitbull Terrier,NA,M,TRUE,Brooklyn,11206
4,January,01,2016,American Pitbull Terrier,NA,U,TRUE,Brooklyn,11206
5,January,01,2016,NA,NA,M,FALSE,Brooklyn,11236
6,January,04,2016,Shih Tzu,NA,U,FALSE,Brooklyn,11212
7,January,06,2016,German Shepherd,2,M,FALSE,Brooklyn,11220
8,January,07,2016,Chihuahua,NA,U,FALSE,Brooklyn,11206
9,January,03,2016,Unknown,NA,U,FALSE,Brooklyn,NA
10,January,09,2016,Pekingese/Chihuahua,1,F,FALSE,Brooklyn,11207
11,January,10,2016,Pug/Beagle X,10,M,FALSE,Brooklyn,11209
12,January,12,2016,NA,7,M,TRUE,Brooklyn,11229
13,January,08,2016,German Shepherd,5,F,FALSE,Brooklyn,11225
14,January,12,2016,American Pitbull Terrier,2,M,FALSE,Brooklyn,11229
15,January,13,2016,Toy Fox Terrier,1,M,FALSE,Brooklyn,11208
16,January,13,2016,Bulldog,NA,U,FALSE,Brooklyn,11230
17,January,08,2016,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11209
18,January,10,2016,Miniature Pinscher,3,M,TRUE,Brooklyn,11232
19,January,15,2016,Yorkshire Terrier,NA,U,FALSE,Brooklyn,11207
20,January,15,2016,NA,NA,U,FALSE,Brooklyn,NA
21,January,15,2016,Pit Bull/ American Bully,3,M,FALSE,Brooklyn,11232
22,January,15,2016,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11214
23,January,16,2016,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11213
24,January,16,2016,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11237
25,January,17,2016,Miniature Pinscher,NA,U,FALSE,Brooklyn,11218
26,January,18,2016,Boston Terrier,4,M,TRUE,Brooklyn,NA
27,January,19,2016,American Pitbull Terrier,8,F,FALSE,Brooklyn,11218
28,January,18,2016,Chihuahua Mix,4,F,TRUE,Brooklyn,11233
29,January,21,2016,Chihuahua,1,M,FALSE,Brooklyn,11219
30,January,22,2016,Pincher,NA,U,FALSE,Brooklyn,11249
31,January,22,2016,NA,NA,U,FALSE,Brooklyn,11225
32,January,16,2016,Lab Mix,NA,M,TRUE,Brooklyn,11231
33,January,21,2016,Rottweiler,2,M,FALSE,Brooklyn,11232
34,January,20,2016,NA,NA,U,FALSE,Brooklyn,NA
35,January,21,2016,Persa Canario,9,M,FALSE,Brooklyn,NA
36,January,21,2016,Jack Russell Terrier,7,M,FALSE,Brooklyn,11236
37,January,23,2016,Jack Russell Terrier Mix,2,M,TRUE,Brooklyn,11218
38,January,22,2016,American Pitbull Terrier Mix,3,M,TRUE,Brooklyn,11221
39,January,23,2016,NA,NA,U,FALSE,Brooklyn,11201
40,January,27,2016,NA,NA,U,FALSE,Brooklyn,11222
41,January,18,2016,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11206
42,January,23,2016,Chihuahua,1,M,FALSE,Brooklyn,11226
43,January,22,2016,NA,NA,U,FALSE,Brooklyn,11221
44,January,25,2016,American Pitbull Terrier Mix,NA,U,FALSE,Brooklyn,11215
45,January,26,2016,NA,NA,U,FALSE,Brooklyn,NA
46,January,27,2016,Beagle Mix,1,F,TRUE,Brooklyn,11211
47,January,26,2016,NA,NA,U,FALSE,Brooklyn,11213
48,February,01,2016,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11235
49,January,31,2016,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11235
50,February,02,2016,American Pitbull Terrier,8,M,TRUE,Brooklyn,11221
51,February,01,2016,Shih Tzu,NA,U,FALSE,Brooklyn,11221
52,January,07,2016,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11213
53,February,03,2016,Beagle,NA,U,FALSE,Brooklyn,11201
54,February,02,2016,Belgian Shepherd,3,F,TRUE,Brooklyn,11238
55,February,04,2016,Bernese Mountain,2,F,TRUE,Brooklyn,11215
56,February,03,2016,Rottweiler,NA,U,FALSE,Brooklyn,NA
57,February,04,2016,Chihuahua,1,M,FALSE,Brooklyn,NA
58,February,04,2016,Boston Terrier,4,M,TRUE,Brooklyn,11237
59,February,06,2016,Silky Terrier,6,M,FALSE,Brooklyn,11206
60,February,09,2016,American Pitbull Terrier,4,M,FALSE,Brooklyn,11207
61,February,10,2016,American Pitbull Terrier Mix,9,F,TRUE,Brooklyn,11228
62,February,10,2016,NA,NA,U,FALSE,Brooklyn,NA
63,January,20,2016,Chihuahua,2,U,FALSE,Brooklyn,11209
